keys,en,de,pl
"""2 minute adventure"" is a demonstration of the Godot Open Adventure Template (GOAT), created by","""2 minute adventure"" is a demonstration of the\nGodot Open Adventure Template (GOAT), created by","""2 Minuten Abenteuer"" ist eine Demonstration der\nGodot Open Adventure Template (GOAT), erstellt von","""2 minutowa przygoda"" jest demonstracją\n Godot Open Adventure Template (GOAT), autorstwa"
"2 MINUTE ADVENTURE","2 MINUTE ADVENTURE","2 MINUTEN ABENTEUER","2 MINUTOWA PRZYGODA"
"CREDITS","CREDITS","CREDITS","TWÓRCY"
"EXIT","EXIT","VERLASS","WYJDŹ"
"NO","NO","NEIN","NIE"
"PLAY","PLAY","SPIEL","GRAJ"
"SETTINGS","SETTINGS","EINSTELLUNG","USTAWIENIA"
"Source code and full credits are available on GitHub:","Source code and full credits are available on GitHub:","Quellcode und vollständige Credits sind auf GitHub verfügbar:","Kod źródłowy i informacje o twórcach są dostępne na GitHubie:"
"UPLOAD?","UPLOAD?","LADEN?","WGRAĆ?"
"WHY NOT?","WHY NOT?","WARUM?","CZEMU?"
"YES","YES","JA","TAK"
"another_world_awaits","Finally! This is actually happening! Another world awaits!","Schließlich! Das passiert tatsächlich! Eine andere Welt erwartet Sie!","Nareszcie! To się dzieje naprawdę! Inny świat czeka!"
"better_way","There should be a better way of using it...","Es sollte eine bessere Möglichkeit geben, es zu verwenden...","Powinien istnieć lepszy sposób korzystania z tego..."
"but_why","But why?","Aber warum?","Ale dlaczego?"
"coords_uploaded","The coordinates are uploaded. Now, where is the remote...","Die Koordinaten werden hochgeladen. Wo ist die Fernbedienung...","Współrzędne są wgrane. Gdzie podział się pilot..."
"eat_something_first","It's going to be a long journey, I should eat something first.","Es wird eine lange Reise, ich sollte zuerst etwas essen.","To będzie długa podróż, powinnam najpierw coś zjeść."
"finally_active","The portal is active! Almost there...","Das Portal ist aktiv! Fast dort...","Portal jest aktywny! Już prawie..."
"find_something","Maybe I'll find something.","Vielleicht finde ich etwas.","Może coś znajdę."
"just_a_few_steps","Just a few steps more and I will open the portal!","Nur noch ein paar Schritte und ich werde das Portal öffnen!","Jeszcze tylko kilka kroków i otworzę portal!"
"look_around","I have to look around.","Ich muss mich umsehen.","Muszę się rozejrzeć."
"pizza_eaten","Mmmm, delicious!","Mmmm, lecker!","Mmmm, pyszne!"
"power_it_up_first","I should power it up first.","Ich sollte es zuerst einschalten.","Powinnam najpierw włączyć zasilanie."
"this_doesnt_make_sense","This doesn't make sense...","Das macht keinen Sinn...","To nie ma sensu..."
"upload_coords_first","I should upload the coordinates first.","Ich sollte zuerst die Koordinaten hochladen.","Powinnam najpierw wgrać współrzędne."
"useless_without_battery","It's useless without a battery.","Ohne Batterie ist es nutzlos.","Bez baterii jest bezużyteczny."
"what_for","What for?","Wofür?","W jakim celu?"
